,animal,session,cluster ID,Choice modulation,depth
88,BS_40,BS_40_18_AC.pickle,4,0.5637254901960785,0.95
89,BS_40,BS_40_18_AC.pickle,19,0.6177606177606177,0.45
90,BS_40,BS_40_18_AC.pickle,36,0.5514705882352949,0.8375
91,BS_40,BS_40_18_AC.pickle,41,0.4534313725490197,0.9125
92,BS_40,BS_40_18_AC.pickle,49,0.42666666666666647,0.8375
93,BS_40,BS_40_19_AC.pickle,1,0.7039337474120088,1.0675
94,BS_40,BS_40_19_AC.pickle,3,0.28985507246376835,0.955
95,BS_40,BS_40_19_AC.pickle,6,0.17943409247757083,0.9425
96,BS_40,BS_40_19_AC.pickle,8,0.1725327812284335,0.9175
97,BS_40,BS_40_19_AC.pickle,19,0.4692891649413386,0.805
98,BS_40,BS_40_19_AC.pickle,22,1.366459627329192,0.88
99,BS_40,BS_40_19_AC.pickle,31,0.30365769496204276,0.9675
100,BS_40,BS_40_19_AC.pickle,33,0.40712468193384216,0.9675
101,BS_40,BS_40_19_AC.pickle,34,0.060422960725075484,0.9675
102,BS_40,BS_40_19_AC.pickle,35,0.7278020378457059,0.9175
103,BS_40,BS_40_19_AC.pickle,46,1.2284334023464452,1.0675
104,BS_40,BS_40_19_AC.pickle,47,0.28295376121463073,0.93
105,BS_40,BS_40_19_AC.pickle,48,0.9385783298826771,0.9675
106,BS_40,BS_40_21_AC.pickle,4,0.03623188405797096,0.786
107,BS_40,BS_40_21_AC.pickle,32,0.9420289855072462,0.5235
108,BS_40,BS_40_21_AC.pickle,33,7.401486830834377e-17,0.536
109,BS_40,BS_40_21_AC.pickle,37,0.41666666666666663,0.3985
110,BS_40,BS_40_21_AC.pickle,42,2.028985507246377,0.186
111,BS_40,BS_40_21_AC.pickle,49,4.021739130434781,0.736
112,BS_40,BS_40_21_AC.pickle,53,2.5641025641025643,0.336
113,BS_40,BS_40_21_AC.pickle,54,4.0,0.336
114,BS_40,BS_40_21_AC.pickle,55,0.07246376811594209,0.561
115,BS_40,BS_40_22_AC.pickle,1,0.7070707070707068,1.17
116,BS_40,BS_40_22_AC.pickle,7,0.6464646464646476,1.195
117,BS_40,BS_40_22_AC.pickle,11,6.690476190476189,1.22
118,BS_40,BS_40_22_AC.pickle,13,0.3636363636363641,1.22
119,BS_40,BS_40_2_AC.pickle,4,0.15360983102918585,0.745
120,BS_40,BS_40_2_AC.pickle,15,1.147959183673469,0.295
121,BS_40,BS_40_2_AC.pickle,18,0.14455782312925197,0.3325
122,BS_40,BS_40_2_AC.pickle,30,0.20408163265306115,0.145
123,BS_40,BS_40_2_AC.pickle,33,2.0434227330779056,0.17
124,BS_40,BS_40_2_AC.pickle,43,3.2138590203106334,0.195
125,BS_40,BS_40_2_AC.pickle,45,1.0240334378265412,0.195
126,BS_40,BS_40_2_AC.pickle,46,1.0289115646258498,0.42
127,BS_40,BS_40_2_AC.pickle,51,0.7653061224489793,0.42
128,BS_40,BS_40_2_AC.pickle,56,0.5250305250305254,0.62
129,BS_40,BS_40_2_AC.pickle,58,0.5017006802721086,0.62
130,BS_40,BS_40_2_AC.pickle,61,0.6972789115646258,0.6575
131,BS_40,BS_40_2_AC.pickle,65,1.6921768707482991,0.595
132,BS_40,BS_40_2_AC.pickle,66,0.5272108843537414,0.595
133,BS_40,BS_40_2_AC.pickle,67,2.5303030303030307,0.595
134,BS_40,BS_40_2_AC.pickle,70,1.4030612244897955,0.57
135,BS_40,BS_40_2_AC.pickle,72,0.15306122448979584,0.6825
136,BS_40,BS_40_2_AC.pickle,83,2.032312925170068,0.7325
137,BS_40,BS_40_2_AC.pickle,96,9.447278911564625,0.4825
138,BS_40,BS_40_2_AC.pickle,97,2.057823129251701,0.4825
139,BS_40,BS_40_2_AC.pickle,98,0.5612244897959188,0.4575
140,BS_40,BS_40_2_AC.pickle,103,1.0459183673469385,0.1575
141,BS_40,BS_40_2_AC.pickle,115,2.8342749529190203,0.4075
142,BS_40,BS_40_2_AC.pickle,120,1.1531531531531534,0.3575
143,BS_40,BS_40_2_AC.pickle,122,4.071428571428571,0.2075
144,BS_40,BS_40_2_AC.pickle,124,2.7380952380952377,0.3325
145,BS_40,BS_40_2_AC.pickle,133,1.4710884353741498,0.395
146,BS_40,BS_40_2_AC.pickle,138,0.8516886930983847,0.145
147,BS_40,BS_40_2_AC.pickle,142,0.1277584204413474,0.195
