,animal,session,cluster ID,phase,condition,FR modulation
82,BS_40,BS_40_16_AC.pickle,0,post early,behaving,2.973621103117507
83,BS_40,BS_40_16_AC.pickle,4,post early,behaving,1.3981244671781772
84,BS_40,BS_40_16_AC.pickle,5,post early,behaving,0.46035805626598475
85,BS_40,BS_40_16_AC.pickle,10,post early,behaving,1.9266837169650464
86,BS_40,BS_40_16_AC.pickle,14,post early,behaving,3.5913978494623677
87,BS_40,BS_40_16_AC.pickle,15,post early,behaving,1.359649122807018
88,BS_40,BS_40_16_AC.pickle,16,post early,behaving,0.559006211180125
89,BS_40,BS_40_16_AC.pickle,21,post early,behaving,27.48508098891727
90,BS_40,BS_40_16_AC.pickle,24,post early,behaving,27.096774193548367
91,BS_40,BS_40_16_AC.pickle,26,post early,behaving,34.12087912087914
92,BS_40,BS_40_16_AC.pickle,35,post early,behaving,21.605691056910562
93,BS_40,BS_40_18_AC.pickle,2,post early,behaving,0.8088235294117665
94,BS_40,BS_40_18_AC.pickle,4,post early,behaving,0.7843137254901957
95,BS_40,BS_40_18_AC.pickle,19,post early,behaving,2.7799227799227797
96,BS_40,BS_40_18_AC.pickle,36,post early,behaving,1.4338235294117652
97,BS_40,BS_40_18_AC.pickle,41,post early,behaving,0.6372549019607854
98,BS_40,BS_40_18_AC.pickle,49,post early,behaving,1.4666666666666668
99,BS_40,BS_40_19_AC.pickle,1,post late,behaving,0.8281573498964818
100,BS_40,BS_40_19_AC.pickle,3,post late,behaving,1.7681159420289831
101,BS_40,BS_40_19_AC.pickle,6,post late,behaving,2.056590752242929
102,BS_40,BS_40_19_AC.pickle,8,post late,behaving,1.463077984817115
103,BS_40,BS_40_19_AC.pickle,19,post late,behaving,1.8771566597653586
104,BS_40,BS_40_19_AC.pickle,22,post late,behaving,6.749482401656327
105,BS_40,BS_40_19_AC.pickle,31,post late,behaving,2.1808143547273975
106,BS_40,BS_40_19_AC.pickle,33,post late,behaving,1.78117048346056
107,BS_40,BS_40_19_AC.pickle,34,post late,behaving,0.6042296072507553
108,BS_40,BS_40_19_AC.pickle,35,post late,behaving,4.483260553129552
109,BS_40,BS_40_19_AC.pickle,46,post late,behaving,1.5596963423050387
110,BS_40,BS_40_19_AC.pickle,47,post late,behaving,0.5935127674258112
111,BS_40,BS_40_19_AC.pickle,48,post late,behaving,3.050379572118701
112,BS_40,BS_40_21_AC.pickle,4,post expert,behaving,1.4492753623188404
113,BS_40,BS_40_21_AC.pickle,8,post expert,behaving,
114,BS_40,BS_40_21_AC.pickle,26,post expert,behaving,
115,BS_40,BS_40_21_AC.pickle,27,post expert,behaving,
116,BS_40,BS_40_21_AC.pickle,32,post expert,behaving,1.3768115942028982
117,BS_40,BS_40_21_AC.pickle,33,post expert,behaving,1.6666666666666667
118,BS_40,BS_40_21_AC.pickle,37,post expert,behaving,4.166666666666667
119,BS_40,BS_40_21_AC.pickle,42,post expert,behaving,2.1014492753623184
120,BS_40,BS_40_21_AC.pickle,49,post expert,behaving,5.000000000000001
121,BS_40,BS_40_21_AC.pickle,53,post expert,behaving,8.717948717948717
122,BS_40,BS_40_21_AC.pickle,54,post expert,behaving,5.999999999999999
123,BS_40,BS_40_21_AC.pickle,55,post expert,behaving,1.4492753623188404
124,BS_40,BS_40_22_AC.pickle,0,post expert,behaving,
125,BS_40,BS_40_22_AC.pickle,1,post expert,behaving,0.5656565656565657
126,BS_40,BS_40_22_AC.pickle,7,post expert,behaving,5.494949494949493
127,BS_40,BS_40_22_AC.pickle,11,post expert,behaving,9.047619047619046
128,BS_40,BS_40_22_AC.pickle,13,post expert,behaving,0.9696969696969694
129,BS_40,BS_40_2_AC.pickle,4,pre late,behaving,3.8095238095238115
130,BS_40,BS_40_2_AC.pickle,15,pre late,behaving,3.010204081632654
131,BS_40,BS_40_2_AC.pickle,18,pre late,behaving,3.911564625850337
132,BS_40,BS_40_2_AC.pickle,30,pre late,behaving,1.071428571428571
133,BS_40,BS_40_2_AC.pickle,33,pre late,behaving,4.0102171136653935
134,BS_40,BS_40_2_AC.pickle,43,pre late,behaving,2.389486260454004
135,BS_40,BS_40_2_AC.pickle,45,pre late,behaving,1.9853709508881925
136,BS_40,BS_40_2_AC.pickle,46,pre late,behaving,5.425170068027217
137,BS_40,BS_40_2_AC.pickle,51,pre late,behaving,1.9387755102040793
138,BS_40,BS_40_2_AC.pickle,56,pre late,behaving,4.63980463980464
139,BS_40,BS_40_2_AC.pickle,58,pre late,behaving,1.9557823129251726
140,BS_40,BS_40_2_AC.pickle,61,pre late,behaving,14.625850340136058
141,BS_40,BS_40_2_AC.pickle,65,pre late,behaving,3.962585034013606
142,BS_40,BS_40_2_AC.pickle,66,pre late,behaving,8.231292517006809
143,BS_40,BS_40_2_AC.pickle,67,pre late,behaving,6.484848484848485
144,BS_40,BS_40_2_AC.pickle,70,pre late,behaving,2.857142857142856
145,BS_40,BS_40_2_AC.pickle,72,pre late,behaving,5.357142857142855
146,BS_40,BS_40_2_AC.pickle,83,pre late,behaving,6.445578231292519
147,BS_40,BS_40_2_AC.pickle,96,pre late,behaving,27.6360544217687
148,BS_40,BS_40_2_AC.pickle,97,pre late,behaving,3.89455782312926
149,BS_40,BS_40_2_AC.pickle,98,pre late,behaving,13.163265306122444
150,BS_40,BS_40_2_AC.pickle,103,pre late,behaving,18.82653061224488
151,BS_40,BS_40_2_AC.pickle,115,pre late,behaving,10.26365348399247
152,BS_40,BS_40_2_AC.pickle,120,pre late,behaving,0.9369369369369368
153,BS_40,BS_40_2_AC.pickle,122,pre late,behaving,2.857142857142857
154,BS_40,BS_40_2_AC.pickle,124,pre late,behaving,1.7176870748299315
155,BS_40,BS_40_2_AC.pickle,133,pre late,behaving,2.9421768707482996
156,BS_40,BS_40_2_AC.pickle,138,pre late,behaving,0.8516886930983848
157,BS_40,BS_40_2_AC.pickle,142,pre late,behaving,1.7886178861788615
158,BS_40,BS_40_2_AC.pickle,153,pre late,behaving,7.579365079365079
159,BS_40,BS_40_2_AC.pickle,154,pre late,behaving,6.51360544217687
160,BS_40,BS_40_2_AC.pickle,156,pre late,behaving,0.671462829736211
161,BS_40,BS_40_2_AC.pickle,162,pre late,behaving,2.959183673469385
162,BS_40,BS_40_2_AC.pickle,163,pre late,behaving,1.2074829931972804
163,BS_40,BS_40_2_AC.pickle,164,pre late,behaving,4.221105527638188
164,BS_40,BS_40_2_AC.pickle,165,pre late,behaving,1.9727891156462543
165,BS_40,BS_40_2_AC.pickle,166,pre late,behaving,1.7176870748299329
166,BS_40,BS_40_2_AC.pickle,178,pre late,behaving,0.9589041095890413
167,BS_40,BS_40_2_AC.pickle,184,pre late,behaving,0.7387387387387389
168,BS_40,BS_40_2_AC.pickle,188,pre late,behaving,2.0238095238095264
169,BS_40,BS_40_2_AC.pickle,189,pre late,behaving,9.727891156462585
170,BS_40,BS_40_2_AC.pickle,190,pre late,behaving,3.267605633802817
171,BS_40,BS_40_2_AC.pickle,194,pre late,behaving,11.326530612244886
172,BS_40,BS_40_2_AC.pickle,195,pre late,behaving,10.850340136054427
173,BS_40,BS_40_2_AC.pickle,201,pre late,behaving,3.0442176870748288
174,BS_40,BS_40_2_AC.pickle,204,pre late,behaving,2.568027210884353
175,BS_40,BS_40_2_AC.pickle,206,pre late,behaving,8.588435374149663
176,BS_40,BS_40_2_AC.pickle,210,pre late,behaving,12.862453531598513
177,BS_40,BS_40_2_AC.pickle,211,pre late,behaving,2.482566248256626
178,BS_40,BS_40_2_AC.pickle,212,pre late,behaving,8.418367346938783
179,BS_40,BS_40_2_AC.pickle,213,pre late,behaving,1.1224489795918366
180,BS_40,BS_40_2_AC.pickle,222,pre late,behaving,1.5257048092868986
181,BS_40,BS_40_2_AC.pickle,225,pre late,behaving,28.21428571428572
182,BS_40,BS_40_2_AC.pickle,230,pre late,behaving,7.908163265306132
183,BS_40,BS_40_2_AC.pickle,231,pre late,behaving,2.857142857142857
184,BS_40,BS_40_3_AC.pickle,0,pre late,behaving,7.245053272450523
185,BS_40,BS_40_3_AC.pickle,10,pre late,behaving,3.1354642313546384
186,BS_40,BS_40_3_AC.pickle,14,pre late,behaving,11.430745814307462
187,BS_40,BS_40_3_AC.pickle,15,pre late,behaving,14.961948249619475
188,BS_40,BS_40_3_AC.pickle,23,pre late,behaving,18.396624472573816
189,BS_40,BS_40_3_AC.pickle,24,pre late,behaving,2.906574394463669
190,BS_40,BS_40_3_AC.pickle,30,pre late,behaving,1.4548802946593007
191,BS_40,BS_40_3_AC.pickle,33,pre late,behaving,2.5665101721439747
192,BS_40,BS_40_3_AC.pickle,36,pre late,behaving,1.6151202749140892
193,BS_40,BS_40_3_AC.pickle,37,pre late,behaving,1.2024353120243538
194,BS_40,BS_40_3_AC.pickle,53,pre late,behaving,1.902587519025875
195,BS_40,BS_40_3_AC.pickle,54,pre late,behaving,1.3231552162849871
196,BS_40,BS_40_3_AC.pickle,57,pre late,behaving,13.850837138508362
197,BS_40,BS_40_3_AC.pickle,61,pre late,behaving,0.6666666666666667
198,BS_40,BS_40_3_AC.pickle,71,pre late,behaving,2.009132420091325
199,BS_40,BS_40_3_AC.pickle,76,pre late,behaving,1.1886304909560725
200,BS_40,BS_40_3_AC.pickle,81,pre late,behaving,3.8051750380517504
201,BS_40,BS_40_3_AC.pickle,84,pre late,behaving,1.4611872146118712
202,BS_40,BS_40_3_AC.pickle,105,pre late,behaving,0.8903365906623235
203,BS_40,BS_40_3_AC.pickle,108,pre late,behaving,1.0350076103500765
204,BS_40,BS_40_3_AC.pickle,109,pre late,behaving,1.9354838709677418
205,BS_40,BS_40_3_AC.pickle,111,pre late,behaving,12.860360360360373
206,BS_40,BS_40_3_AC.pickle,114,pre late,behaving,15.34936998854525
207,BS_40,BS_40_3_AC.pickle,115,pre late,behaving,4.279835390946501
208,BS_40,BS_40_3_AC.pickle,121,pre late,behaving,12.571428571428571
209,BS_40,BS_40_3_AC.pickle,140,pre late,behaving,0.18939393939393936
210,BS_40,BS_40_3_AC.pickle,145,pre late,behaving,3.432835820895522
211,BS_40,BS_40_3_AC.pickle,151,pre late,behaving,1.4840182648401823
212,BS_40,BS_40_3_AC.pickle,155,pre late,behaving,16.910197869101975
213,BS_40,BS_40_4_AC.pickle,0,pre late,behaving,1.3733333333333333
214,BS_40,BS_40_4_AC.pickle,1,pre late,behaving,1.12
215,BS_40,BS_40_4_AC.pickle,7,pre late,behaving,1.5600000000000005
216,BS_40,BS_40_4_AC.pickle,9,pre late,behaving,0.5599999999999994
217,BS_40,BS_40_4_AC.pickle,10,pre late,behaving,0.3733333333333331
218,BS_40,BS_40_4_AC.pickle,15,pre late,behaving,11.140939597315437
219,BS_40,BS_40_4_AC.pickle,18,pre late,behaving,18.91472868217054
220,BS_40,BS_40_4_AC.pickle,29,pre late,behaving,7.160000000000004
221,BS_40,BS_40_5_AC.pickle,5,pre late,behaving,0.7142857142857155
222,BS_40,BS_40_5_AC.pickle,21,pre late,behaving,0.3968253968253967
223,BS_40,BS_40_5_AC.pickle,22,pre late,behaving,1.5418023887079275
224,BS_40,BS_40_5_AC.pickle,27,pre late,behaving,15.003599712023021
225,BS_40,BS_40_6_AC.pickle,4,pre late,behaving,0.8281573498964798
226,BS_40,BS_40_6_AC.pickle,7,pre late,behaving,1.8697829716193657
227,BS_40,BS_40_6_AC.pickle,10,pre late,behaving,0.4563160823594876
228,BS_40,BS_40_6_AC.pickle,11,pre late,behaving,2.370617696160264
229,BS_40,BS_40_6_AC.pickle,15,pre late,behaving,15.859766277128557
230,BS_40,BS_40_6_AC.pickle,21,pre late,behaving,3.154362416107376
231,BS_40,BS_40_6_AC.pickle,24,pre late,behaving,7.490261547022819
232,BS_40,BS_40_6_AC.pickle,25,pre late,behaving,0.8242950108459874
233,BS_40,BS_40_6_AC.pickle,26,pre late,behaving,2.1146355036171425
234,BS_40,BS_40_6_AC.pickle,27,pre late,behaving,1.8809126321647172
235,BS_40,BS_40_7_AC.pickle,23,pre late,behaving,3.988888888888883
236,BS_40,BS_40_7_AC.pickle,33,pre late,behaving,7.566666666666662
237,BS_40,BS_40_7_AC.pickle,36,pre late,behaving,1.602288984263233
238,BS_40,BS_40_7_AC.pickle,85,pre late,behaving,2.9888888888888916
239,BS_40,BS_40_8_AC.pickle,6,pre late,behaving,1.6903313049357678
240,BS_40,BS_40_8_AC.pickle,25,pre late,behaving,0.6700167504187602
241,BS_40,BS_40_8_AC.pickle,33,pre late,behaving,0.7167004732927654
242,BS_40,BS_40_8_AC.pickle,34,pre late,behaving,0.5544286680189319
243,BS_40,BS_40_8_AC.pickle,40,pre late,behaving,0.8160123171670507
244,BS_40,BS_40_8_AC.pickle,44,pre late,behaving,0.9642560266001666
245,BS_40,BS_40_8_AC.pickle,45,pre late,behaving,1.01123595505618
