,animal,session,cluster ID,learning phase,FR modulation,decoding performance,significant rel. synth. control
73,BS_40,BS_40_15_AC.pickle,64,post early,2.2286821705426374,0.490358965,True
74,BS_40,BS_40_15_AC.pickle,66,post early,1.2640163098878694,0.497246825,False
75,BS_40,BS_40_15_AC.pickle,68,post early,27.03488372093023,0.496356558,False
76,BS_40,BS_40_16_AC.pickle,0,post early,2.973621103117507,0.541866837,True
77,BS_40,BS_40_16_AC.pickle,4,post early,1.3981244671781772,0.471569932,True
78,BS_40,BS_40_16_AC.pickle,5,post early,0.46035805626598475,0.500541871,False
79,BS_40,BS_40_16_AC.pickle,10,post early,1.9266837169650464,0.484166127,True
80,BS_40,BS_40_16_AC.pickle,14,post early,3.5913978494623677,0.555163617,True
81,BS_40,BS_40_16_AC.pickle,15,post early,1.359649122807018,0.510386609,True
82,BS_40,BS_40_16_AC.pickle,16,post early,0.559006211180125,0.510824746,False
83,BS_40,BS_40_16_AC.pickle,21,post early,27.48508098891727,0.59612182,True
84,BS_40,BS_40_16_AC.pickle,24,post early,27.096774193548367,0.494437419,False
85,BS_40,BS_40_16_AC.pickle,26,post early,34.12087912087914,0.542515171,True
86,BS_40,BS_40_16_AC.pickle,35,post early,21.605691056910562,0.65558298,True
87,BS_40,BS_40_18_AC.pickle,2,post early,0.8088235294117665,0.502487939,False
88,BS_40,BS_40_18_AC.pickle,4,post early,0.7843137254901957,0.458066994,True
89,BS_40,BS_40_18_AC.pickle,19,post early,2.7799227799227797,0.492869045,False
90,BS_40,BS_40_18_AC.pickle,36,post early,1.4338235294117652,0.502435644,True
91,BS_40,BS_40_18_AC.pickle,41,post early,0.6372549019607854,0.476607418,True
92,BS_40,BS_40_18_AC.pickle,49,post early,1.4666666666666668,0.502686911,False
93,BS_40,BS_40_19_AC.pickle,1,post late,0.8281573498964818,0.506515666,True
94,BS_40,BS_40_19_AC.pickle,3,post late,1.7681159420289831,0.49323378,False
95,BS_40,BS_40_19_AC.pickle,6,post late,2.056590752242929,0.505048458,True
96,BS_40,BS_40_19_AC.pickle,8,post late,1.463077984817115,0.498675812,True
97,BS_40,BS_40_19_AC.pickle,19,post late,1.8771566597653586,0.503636851,False
98,BS_40,BS_40_19_AC.pickle,22,post late,6.749482401656327,0.505770049,False
99,BS_40,BS_40_19_AC.pickle,31,post late,2.1808143547273975,0.500518669,True
100,BS_40,BS_40_19_AC.pickle,33,post late,1.78117048346056,0.548687617,True
101,BS_40,BS_40_19_AC.pickle,34,post late,0.6042296072507553,0.47202242,True
102,BS_40,BS_40_19_AC.pickle,35,post late,4.483260553129552,0.499235554,True
103,BS_40,BS_40_19_AC.pickle,46,post late,1.5596963423050387,0.499602679,False
104,BS_40,BS_40_19_AC.pickle,47,post late,0.5935127674258112,0.525761932,True
105,BS_40,BS_40_19_AC.pickle,48,post late,3.050379572118701,0.493520536,True
106,BS_40,BS_40_21_AC.pickle,4,post expert,1.4492753623188404,0.538507831,True
107,BS_40,BS_40_21_AC.pickle,32,post expert,1.3768115942028982,,False
108,BS_40,BS_40_21_AC.pickle,33,post expert,1.6666666666666667,,False
109,BS_40,BS_40_21_AC.pickle,37,post expert,4.166666666666667,,False
110,BS_40,BS_40_21_AC.pickle,42,post expert,2.1014492753623184,0.438463956,True
111,BS_40,BS_40_21_AC.pickle,49,post expert,5.000000000000001,0.493034225,False
112,BS_40,BS_40_21_AC.pickle,53,post expert,8.717948717948717,,False
113,BS_40,BS_40_21_AC.pickle,54,post expert,5.999999999999999,,False
114,BS_40,BS_40_21_AC.pickle,55,post expert,1.4492753623188404,,False
115,BS_40,BS_40_22_AC.pickle,1,post expert,0.5656565656565657,0.512438653,False
116,BS_40,BS_40_22_AC.pickle,7,post expert,5.494949494949493,0.501792887,False
