,animal,session,cluster ID,Choice modulation,category
71,BS_40,BS_40_15_AC.pickle,60,0.3460207612456748,Inconclusive
72,BS_40,BS_40_15_AC.pickle,62,2.0028011204481797,Inconclusive
73,BS_40,BS_40_15_AC.pickle,64,0.8236434108527105,Inconclusive
74,BS_40,BS_40_15_AC.pickle,66,1.0499490316004083,Inconclusive
75,BS_40,BS_40_15_AC.pickle,68,1.1918604651162783,Inconclusive
76,BS_40,BS_40_16_AC.pickle,0,3.4772182254196635,CR (enhanced)
77,BS_40,BS_40_16_AC.pickle,4,0.5029838022165389,Inconclusive
78,BS_40,BS_40_16_AC.pickle,5,1.048593350383632,Inconclusive
79,BS_40,BS_40_16_AC.pickle,10,0.4177323103154312,Inconclusive
80,BS_40,BS_40_16_AC.pickle,14,4.720430107526881,CR (enhanced)
81,BS_40,BS_40_16_AC.pickle,15,1.2609649122807018,Inconclusive
82,BS_40,BS_40_16_AC.pickle,16,0.8385093167701865,Inconclusive
83,BS_40,BS_40_16_AC.pickle,21,0.34100596760443347,Inconclusive
84,BS_40,BS_40_16_AC.pickle,24,3.36405529953917,CR (enhanced)
85,BS_40,BS_40_16_AC.pickle,26,2.1978021978021975,Inconclusive
86,BS_40,BS_40_16_AC.pickle,35,1.5447154471544715,CR (enhanced)
87,BS_40,BS_40_18_AC.pickle,2,0.8088235294117649,Inconclusive
88,BS_40,BS_40_18_AC.pickle,4,0.5637254901960785,NCR
89,BS_40,BS_40_18_AC.pickle,19,0.6177606177606177,Inconclusive
90,BS_40,BS_40_18_AC.pickle,36,0.5514705882352949,Inconclusive
91,BS_40,BS_40_18_AC.pickle,41,0.4534313725490197,Inconclusive
92,BS_40,BS_40_18_AC.pickle,49,0.42666666666666647,Inconclusive
93,BS_40,BS_40_19_AC.pickle,1,0.7039337474120088,Inconclusive
94,BS_40,BS_40_19_AC.pickle,3,0.28985507246376835,NCR
95,BS_40,BS_40_19_AC.pickle,6,0.17943409247757083,NCR
96,BS_40,BS_40_19_AC.pickle,8,0.1725327812284335,NCR
97,BS_40,BS_40_19_AC.pickle,19,0.4692891649413386,Inconclusive
98,BS_40,BS_40_19_AC.pickle,22,1.366459627329192,CR (enhanced)
99,BS_40,BS_40_19_AC.pickle,31,0.30365769496204276,NCR
100,BS_40,BS_40_19_AC.pickle,33,0.40712468193384216,Inconclusive
101,BS_40,BS_40_19_AC.pickle,34,0.060422960725075484,NCR
102,BS_40,BS_40_19_AC.pickle,35,0.7278020378457059,Inconclusive
103,BS_40,BS_40_19_AC.pickle,46,1.2284334023464452,Inconclusive
104,BS_40,BS_40_19_AC.pickle,47,0.28295376121463073,NCR
105,BS_40,BS_40_19_AC.pickle,48,0.9385783298826771,CR (enhanced)
106,BS_40,BS_40_21_AC.pickle,4,0.03623188405797096,Inconclusive
107,BS_40,BS_40_21_AC.pickle,32,0.9420289855072462,Inconclusive
108,BS_40,BS_40_21_AC.pickle,33,7.401486830834377e-17,Inconclusive
109,BS_40,BS_40_21_AC.pickle,37,0.41666666666666663,Inconclusive
110,BS_40,BS_40_21_AC.pickle,42,2.028985507246377,Inconclusive
111,BS_40,BS_40_21_AC.pickle,49,4.021739130434781,Inconclusive
112,BS_40,BS_40_21_AC.pickle,53,2.5641025641025643,Inconclusive
113,BS_40,BS_40_21_AC.pickle,54,4.0,Inconclusive
114,BS_40,BS_40_21_AC.pickle,55,0.07246376811594209,Inconclusive
115,BS_40,BS_40_22_AC.pickle,1,0.7070707070707068,Inconclusive
116,BS_40,BS_40_22_AC.pickle,7,0.6464646464646476,CR (suppressed)
117,BS_40,BS_40_22_AC.pickle,11,6.690476190476189,CR (enhanced)
118,BS_40,BS_40_22_AC.pickle,13,0.3636363636363641,Inconclusive
119,BS_40,BS_40_2_AC.pickle,4,0.15360983102918585,Inconclusive
120,BS_40,BS_40_2_AC.pickle,15,1.147959183673469,CR (enhanced)
121,BS_40,BS_40_2_AC.pickle,18,0.14455782312925197,Inconclusive
122,BS_40,BS_40_2_AC.pickle,30,0.20408163265306115,Inconclusive
123,BS_40,BS_40_2_AC.pickle,33,2.0434227330779056,CR (suppressed)
124,BS_40,BS_40_2_AC.pickle,43,3.2138590203106334,CR (suppressed)
125,BS_40,BS_40_2_AC.pickle,45,1.0240334378265412,CR (enhanced)
126,BS_40,BS_40_2_AC.pickle,46,1.0289115646258498,CR (enhanced)
127,BS_40,BS_40_2_AC.pickle,51,0.7653061224489793,Inconclusive
128,BS_40,BS_40_2_AC.pickle,56,0.5250305250305254,Inconclusive
129,BS_40,BS_40_2_AC.pickle,58,0.5017006802721086,Inconclusive
130,BS_40,BS_40_2_AC.pickle,61,0.6972789115646258,CR (enhanced)
131,BS_40,BS_40_2_AC.pickle,65,1.6921768707482991,CR (enhanced)
132,BS_40,BS_40_2_AC.pickle,66,0.5272108843537414,CR (enhanced)
133,BS_40,BS_40_2_AC.pickle,67,2.5303030303030307,CR (enhanced)
134,BS_40,BS_40_2_AC.pickle,70,1.4030612244897955,CR (enhanced)
135,BS_40,BS_40_2_AC.pickle,72,0.15306122448979584,NCR
136,BS_40,BS_40_2_AC.pickle,83,2.032312925170068,CR (enhanced)
137,BS_40,BS_40_2_AC.pickle,96,9.447278911564625,CR (enhanced)
138,BS_40,BS_40_2_AC.pickle,97,2.057823129251701,CR (suppressed)
139,BS_40,BS_40_2_AC.pickle,98,0.5612244897959188,Inconclusive
140,BS_40,BS_40_2_AC.pickle,103,1.0459183673469385,CR (enhanced)
141,BS_40,BS_40_2_AC.pickle,115,2.8342749529190203,CR (enhanced)
142,BS_40,BS_40_2_AC.pickle,120,1.1531531531531534,CR (suppressed)
143,BS_40,BS_40_2_AC.pickle,122,4.071428571428571,CR (enhanced)
144,BS_40,BS_40_2_AC.pickle,124,2.7380952380952377,CR (enhanced)
145,BS_40,BS_40_2_AC.pickle,133,1.4710884353741498,Inconclusive
146,BS_40,BS_40_2_AC.pickle,138,0.8516886930983847,CR (enhanced)
147,BS_40,BS_40_2_AC.pickle,142,0.1277584204413474,NCR
148,BS_40,BS_40_2_AC.pickle,153,0.3174603174603174,Inconclusive
149,BS_40,BS_40_2_AC.pickle,154,1.0034013605442176,Inconclusive
150,BS_40,BS_40_2_AC.pickle,156,0.40767386091127106,Inconclusive
151,BS_40,BS_40_2_AC.pickle,162,0.8928571428571431,CR (suppressed)
152,BS_40,BS_40_2_AC.pickle,163,1.2840136054421765,CR (enhanced)
153,BS_40,BS_40_2_AC.pickle,164,1.6582914572864325,CR (suppressed)
154,BS_40,BS_40_2_AC.pickle,165,1.4625850340136055,CR (suppressed)
