,animal,session relative to reversal,d'
0,BS_40,-17,0.10143870664312599
1,BS_40,-16,0.13747056969430654
2,BS_40,-15,0.16114767816997105
3,BS_40,-14,0.37810050938117873
4,BS_40,-13,0.13066799499474524
5,BS_40,-12,0.6759519549347086
6,BS_40,-11,0.3181522230138307
7,BS_40,-10,0.13378164194699554
8,BS_40,-9,0.10543513925384881
9,BS_40,-8,0.5500612029451912
10,BS_40,-7,0.6472939061678507
11,BS_40,-6,0.5105156308756529
12,BS_40,-5,0.975839714350211
13,BS_40,-4,0.6499979175909307
14,BS_40,-3,0.9574391926440188
15,BS_40,-2,1.75068607125217
16,BS_40,-1,0.6459371176601505
17,BS_40,0,-0.6596392622046594
18,BS_40,1,-1.1376904574182318
19,BS_40,2,-0.4531130655381991
20,BS_40,3,-0.10891477946268568
21,BS_40,4,-0.37065787630313896
22,BS_40,5,-0.02383427773605834
23,BS_40,6,-0.32390462556567956
24,BS_40,7,0.03346673798798133
25,BS_40,8,-0.00040416327354587944
26,BS_40,9,0.8125775051876666
27,BS_40,10,0.2119046418280095
28,BS_40,11,0.14505110375323554
29,BS_40,12,1.5100097610843206
30,BS_40,13,1.6066230711417375
31,BS_40,14,1.7931402187188945
32,BS_41,-5,0.3390916443896751
33,BS_41,-4,0.2535617622697345
34,BS_41,-3,1.9661679310537816
35,BS_41,-2,2.53234922940356
36,BS_41,-1,1.5938783374369343
37,BS_41,0,-1.0669247332297598
38,BS_41,1,-0.7218612414971093
39,BS_41,2,-0.09399848589923421
40,BS_41,3,-0.13552296291986343
41,BS_41,4,-0.04073372371602757
42,BS_41,5,-0.002588157878820496
43,BS_41,6,0.09839285999454173
44,BS_41,7,-0.16488380178415352
45,BS_41,8,0.5222373386999963
46,BS_41,9,0.9943436475034109
47,BS_41,10,1.9229444503282003
48,BS_42,-6,-0.010428462020478202
49,BS_42,-5,0.2733067248473744
50,BS_42,-4,0.8226755546991519
51,BS_42,-3,1.143057083081818
52,BS_42,-2,1.4083299957411488
53,BS_42,-1,1.8554758943466252
54,BS_42,0,-0.011410253330860876
55,BS_42,1,-0.08588090734768516
56,BS_42,2,0.4884632115809511
57,BS_42,3,0.4639553672654676
58,BS_42,4,0.645166129395475
59,BS_42,5,0.7235448846242516
60,BS_42,6,0.5172944201783067
61,BS_42,7,0.9068786699591551
62,BS_42,8,1.847988552553565
63,BS_42,9,1.7793766236953463
64,BS_42,10,1.5324404387928947
65,BS_42,11,1.3705404686371159
66,BS_42,12,1.3154589112775408
67,BS_42,13,2.231605835260925
68,BS_42,14,2.259977300998866
69,BS_42,15,2.248671930020573
70,BS_49,-13,-0.11003673643195
71,BS_49,-12,0.4108796768537688
72,BS_49,-11,0.24592819279988953
73,BS_49,-10,0.20910163672141568
74,BS_49,-9,-0.04103203260854227
75,BS_49,-8,-0.20045666054678501
76,BS_49,-7,0.8857917125668868
77,BS_49,-6,0.09791021724923987
78,BS_49,-5,0.35506672104131426
79,BS_49,-4,0.5149568871658523
