,animal,session,cluster ID,phase,condition,FR modulation,Choice modulation
66,BS_40,BS_40_15_AC.pickle,3,post early,behaving,3.410852713178299,0.13675213675213596
67,BS_40,BS_40_15_AC.pickle,7,post early,behaving,2.002442002442002,0.9560723514211882
68,BS_40,BS_40_15_AC.pickle,10,post early,behaving,1.6472868217054268,1.5384615384615388
69,BS_40,BS_40_15_AC.pickle,40,post early,behaving,8.148148148148147,3.8935574229691885
70,BS_40,BS_40_15_AC.pickle,47,post early,behaving,17.131782945736436,3.504273504273504
71,BS_40,BS_40_15_AC.pickle,60,post early,behaving,0.9688581314878892,0.06944444444444457
72,BS_40,BS_40_15_AC.pickle,62,post early,behaving,5.910364145658262,2.733333333333333
73,BS_40,BS_40_15_AC.pickle,64,post early,behaving,2.2286821705426374,2.2222222222222197
74,BS_40,BS_40_15_AC.pickle,66,post early,behaving,1.2640163098878694,2.153558052434457
75,BS_40,BS_40_15_AC.pickle,68,post early,behaving,27.03488372093023,2.2051282051282053
76,BS_40,BS_40_16_AC.pickle,0,post early,behaving,2.973621103117507,6.467991169977924
77,BS_40,BS_40_16_AC.pickle,4,post early,behaving,1.3981244671781772,0.2624671916010501
78,BS_40,BS_40_16_AC.pickle,5,post early,behaving,0.46035805626598475,1.6535433070866143
79,BS_40,BS_40_16_AC.pickle,10,post early,behaving,1.9266837169650464,0.5511811023622052
80,BS_40,BS_40_16_AC.pickle,14,post early,behaving,3.5913978494623677,7.82051282051282
81,BS_40,BS_40_16_AC.pickle,15,post early,behaving,1.359649122807018,1.0227272727272727
82,BS_40,BS_40_16_AC.pickle,16,post early,behaving,0.559006211180125,1.0416666666666667
83,BS_40,BS_40_16_AC.pickle,21,post early,behaving,27.48508098891727,0.2230971128608918
84,BS_40,BS_40_16_AC.pickle,24,post early,behaving,27.096774193548367,4.999999999999999
85,BS_40,BS_40_16_AC.pickle,26,post early,behaving,34.12087912087914,0.30434782608695704
86,BS_40,BS_40_16_AC.pickle,35,post early,behaving,21.605691056910562,3.1818181818181817
87,BS_40,BS_40_18_AC.pickle,2,post early,behaving,0.8088235294117665,1.4507198228128464
88,BS_40,BS_40_18_AC.pickle,4,post early,behaving,0.7843137254901957,0.47619047619047633
89,BS_40,BS_40_18_AC.pickle,19,post early,behaving,2.7799227799227797,0.9252669039145908
90,BS_40,BS_40_18_AC.pickle,36,post early,behaving,1.4338235294117652,0.1661129568106305
91,BS_40,BS_40_18_AC.pickle,41,post early,behaving,0.6372549019607854,0.47619047619047633
92,BS_40,BS_40_18_AC.pickle,49,post early,behaving,1.4666666666666668,1.0864197530864204
93,BS_40,BS_40_19_AC.pickle,1,post late,behaving,0.8281573498964818,0.9090909090909097
94,BS_40,BS_40_19_AC.pickle,3,post late,behaving,1.7681159420289831,0.4040404040404042
95,BS_40,BS_40_19_AC.pickle,6,post late,behaving,2.056590752242929,0.36130536130536123
96,BS_40,BS_40_19_AC.pickle,8,post late,behaving,1.463077984817115,7.453245480001051e-17
97,BS_40,BS_40_19_AC.pickle,19,post late,behaving,1.8771566597653586,0.04662004662004629
98,BS_40,BS_40_19_AC.pickle,22,post late,behaving,6.749482401656327,2.9137529137529135
99,BS_40,BS_40_19_AC.pickle,31,post late,behaving,2.1808143547273975,0.23310023310023292
100,BS_40,BS_40_19_AC.pickle,33,post late,behaving,1.78117048346056,0.5464480874316939
101,BS_40,BS_40_19_AC.pickle,34,post late,behaving,0.6042296072507553,0.10224948875255614
102,BS_40,BS_40_19_AC.pickle,35,post late,behaving,4.483260553129552,0.9659090909090907
103,BS_40,BS_40_19_AC.pickle,46,post late,behaving,1.5596963423050387,1.4219114219114213
104,BS_40,BS_40_19_AC.pickle,47,post late,behaving,0.5935127674258112,0.20979020979020974
105,BS_40,BS_40_19_AC.pickle,48,post late,behaving,3.050379572118701,2.004662004662004
106,BS_40,BS_40_21_AC.pickle,4,post expert,behaving,1.4492753623188404,0.8333333333333333
107,BS_40,BS_40_21_AC.pickle,32,post expert,behaving,1.3768115942028982,3.541666666666666
108,BS_40,BS_40_21_AC.pickle,33,post expert,behaving,1.6666666666666667,2.5
109,BS_40,BS_40_21_AC.pickle,37,post expert,behaving,4.166666666666667,0.0
110,BS_40,BS_40_21_AC.pickle,42,post expert,behaving,2.1014492753623184,2.7083333333333335
111,BS_40,BS_40_21_AC.pickle,49,post expert,behaving,5.000000000000001,0.41666666666666563
112,BS_40,BS_40_21_AC.pickle,53,post expert,behaving,8.717948717948717,1.3333333333333335
113,BS_40,BS_40_21_AC.pickle,54,post expert,behaving,5.999999999999999,2.9605947323337506e-16
114,BS_40,BS_40_21_AC.pickle,55,post expert,behaving,1.4492753623188404,0.6249999999999999
115,BS_40,BS_40_22_AC.pickle,1,post expert,behaving,0.5656565656565657,1.1627906976744187
116,BS_40,BS_40_22_AC.pickle,7,post expert,behaving,5.494949494949493,1.498708010335919
117,BS_40,BS_40_22_AC.pickle,11,post expert,behaving,9.047619047619046,8.053097345132743
118,BS_40,BS_40_22_AC.pickle,13,post expert,behaving,0.9696969696969694,0.2583979328165377
119,BS_40,BS_40_2_AC.pickle,4,pre late,behaving,3.8095238095238115,0.44817927170868355
120,BS_40,BS_40_2_AC.pickle,15,pre late,behaving,3.010204081632654,2.659758203799654
121,BS_40,BS_40_2_AC.pickle,18,pre late,behaving,3.911564625850337,0.4490500863557856
122,BS_40,BS_40_2_AC.pickle,30,pre late,behaving,1.071428571428571,0.6044905008635578
123,BS_40,BS_40_2_AC.pickle,33,pre late,behaving,4.0102171136653935,3.682539682539683
124,BS_40,BS_40_2_AC.pickle,43,pre late,behaving,2.389486260454004,4.209039548022599
125,BS_40,BS_40_2_AC.pickle,45,pre late,behaving,1.9853709508881925,3.3100233100233094
126,BS_40,BS_40_2_AC.pickle,46,pre late,behaving,5.425170068027217,2.9706390328151984
127,BS_40,BS_40_2_AC.pickle,51,pre late,behaving,1.9387755102040793,0.7772020725388596
128,BS_40,BS_40_2_AC.pickle,56,pre late,behaving,4.63980463980464,0.8602150537634413
129,BS_40,BS_40_2_AC.pickle,58,pre late,behaving,1.9557823129251726,0.8981001727115713
130,BS_40,BS_40_2_AC.pickle,61,pre late,behaving,14.625850340136058,1.6925734024179617
131,BS_40,BS_40_2_AC.pickle,65,pre late,behaving,3.962585034013606,3.4024179620034536
132,BS_40,BS_40_2_AC.pickle,66,pre late,behaving,8.231292517006809,1.6753022452504316
133,BS_40,BS_40_2_AC.pickle,67,pre late,behaving,6.484848484848485,7.86008230452675
134,BS_40,BS_40_2_AC.pickle,70,pre late,behaving,2.857142857142856,3.7132987910189983
135,BS_40,BS_40_2_AC.pickle,72,pre late,behaving,5.357142857142855,0.06908462867012082
136,BS_40,BS_40_2_AC.pickle,83,pre late,behaving,6.445578231292519,4.214162348877374
137,BS_40,BS_40_2_AC.pickle,96,pre late,behaving,27.6360544217687,20.639032815198618
138,BS_40,BS_40_2_AC.pickle,97,pre late,behaving,3.89455782312926,3.298791018998273
139,BS_40,BS_40_2_AC.pickle,98,pre late,behaving,13.163265306122444,0.5526770293609675
140,BS_40,BS_40_2_AC.pickle,103,pre late,behaving,18.82653061224488,2.037996545768566
141,BS_40,BS_40_2_AC.pickle,115,pre late,behaving,10.26365348399247,6.506986027944112
142,BS_40,BS_40_2_AC.pickle,120,pre late,behaving,0.9369369369369368,2.280701754385965
143,BS_40,BS_40_2_AC.pickle,122,pre late,behaving,2.857142857142857,6.336996336996337
144,BS_40,BS_40_2_AC.pickle,124,pre late,behaving,1.7176870748299315,5.975820379965457
145,BS_40,BS_40_2_AC.pickle,133,pre late,behaving,2.9421768707482996,1.9516407599309158
146,BS_40,BS_40_2_AC.pickle,138,pre late,behaving,0.8516886930983848,1.2354312354312353
147,BS_40,BS_40_2_AC.pickle,142,pre late,behaving,1.7886178861788615,0.16393442622950813
148,BS_40,BS_40_2_AC.pickle,153,pre late,behaving,7.579365079365079,1.261261261261261
149,BS_40,BS_40_2_AC.pickle,154,pre late,behaving,6.51360544217687,1.7443868739205526
150,BS_40,BS_40_2_AC.pickle,156,pre late,behaving,0.671462829736211,0.45454545454545464
151,BS_40,BS_40_2_AC.pickle,162,pre late,behaving,2.959183673469385,1.8825561312607946
152,BS_40,BS_40_2_AC.pickle,163,pre late,behaving,1.2074829931972804,2.5043177892918824
153,BS_40,BS_40_2_AC.pickle,164,pre late,behaving,4.221105527638188,2.2751322751322753
154,BS_40,BS_40_2_AC.pickle,165,pre late,behaving,1.9727891156462543,2.7979274611398965
155,BS_40,BS_40_2_AC.pickle,166,pre late,behaving,1.7176870748299329,4.66321243523316
156,BS_40,BS_40_2_AC.pickle,178,pre late,behaving,0.9589041095890413,0.6593406593406591
157,BS_40,BS_40_2_AC.pickle,184,pre late,behaving,0.7387387387387389,0.64030131826742
158,BS_40,BS_40_2_AC.pickle,188,pre late,behaving,2.0238095238095264,2.901554404145078
159,BS_40,BS_40_2_AC.pickle,189,pre late,behaving,9.727891156462585,5.043177892918825
160,BS_40,BS_40_2_AC.pickle,190,pre late,behaving,3.267605633802817,0.892857142857143
161,BS_40,BS_40_2_AC.pickle,194,pre late,behaving,11.326530612244886,17.512953367875646
162,BS_40,BS_40_2_AC.pickle,195,pre late,behaving,10.850340136054427,1.8307426597582035
163,BS_40,BS_40_2_AC.pickle,201,pre late,behaving,3.0442176870748288,3.246977547495682
164,BS_40,BS_40_2_AC.pickle,204,pre late,behaving,2.568027210884353,1.5198618307426595
165,BS_40,BS_40_2_AC.pickle,206,pre late,behaving,8.588435374149663,10.604490500863557
166,BS_40,BS_40_2_AC.pickle,210,pre late,behaving,12.862453531598513,1.9078947368421055
167,BS_40,BS_40_2_AC.pickle,211,pre late,behaving,2.482566248256626,0.5555555555555555
168,BS_40,BS_40_2_AC.pickle,212,pre late,behaving,8.418367346938783,0.8635578583765112
169,BS_40,BS_40_2_AC.pickle,213,pre late,behaving,1.1224489795918366,4.870466321243524
170,BS_40,BS_40_2_AC.pickle,222,pre late,behaving,1.5257048092868986,0.30769230769230776
