,animal,d',condition
0,AE_344,0.4410966923210922,opto
1,AE_346,0.22902506968102299,opto
2,AE_367,0.7056723344827683,opto
3,AE_350,1.5983199158626873,control
4,AE_351,1.6468532832214327,control
5,AE_359,1.2800978745719043,control
