,animal,session,cluster ID,learning phase,FR modulation,control decoding performance
77,BS_40,BS_40_16_AC.pickle,4,post early,1.3981244671781772,0.504604969
78,BS_40,BS_40_16_AC.pickle,5,post early,0.46035805626598475,0.499260301
79,BS_40,BS_40_16_AC.pickle,10,post early,1.9266837169650464,0.498670798
80,BS_40,BS_40_16_AC.pickle,14,post early,3.5913978494623677,0.49945475
81,BS_40,BS_40_16_AC.pickle,15,post early,1.359649122807018,0.502879334
82,BS_40,BS_40_16_AC.pickle,16,post early,0.559006211180125,0.50655715
83,BS_40,BS_40_16_AC.pickle,21,post early,27.48508098891727,0.498720067
84,BS_40,BS_40_16_AC.pickle,24,post early,27.096774193548367,0.501496573
85,BS_40,BS_40_16_AC.pickle,26,post early,34.12087912087914,0.50089772
86,BS_40,BS_40_16_AC.pickle,35,post early,21.605691056910562,0.50053498
87,BS_40,BS_40_18_AC.pickle,2,post early,0.8088235294117665,0.497947208
88,BS_40,BS_40_18_AC.pickle,4,post early,0.7843137254901957,0.504499703
89,BS_40,BS_40_18_AC.pickle,19,post early,2.7799227799227797,0.501291871
90,BS_40,BS_40_18_AC.pickle,36,post early,1.4338235294117652,0.496123009
91,BS_40,BS_40_18_AC.pickle,41,post early,0.6372549019607854,0.500511183
92,BS_40,BS_40_18_AC.pickle,49,post early,1.4666666666666668,0.497259594
93,BS_40,BS_40_19_AC.pickle,1,post late,0.8281573498964818,0.496437094
94,BS_40,BS_40_19_AC.pickle,3,post late,1.7681159420289831,0.494861837
95,BS_40,BS_40_19_AC.pickle,6,post late,2.056590752242929,0.496505195
96,BS_40,BS_40_19_AC.pickle,8,post late,1.463077984817115,0.497040828
97,BS_40,BS_40_19_AC.pickle,19,post late,1.8771566597653586,0.500015584
98,BS_40,BS_40_19_AC.pickle,22,post late,6.749482401656327,0.50281112
99,BS_40,BS_40_19_AC.pickle,31,post late,2.1808143547273975,0.495565909
100,BS_40,BS_40_19_AC.pickle,33,post late,1.78117048346056,0.497443151
101,BS_40,BS_40_19_AC.pickle,34,post late,0.6042296072507553,0.495949872
102,BS_40,BS_40_19_AC.pickle,35,post late,4.483260553129552,0.495315983
103,BS_40,BS_40_19_AC.pickle,46,post late,1.5596963423050387,0.500221185
104,BS_40,BS_40_19_AC.pickle,47,post late,0.5935127674258112,0.507621429
105,BS_40,BS_40_19_AC.pickle,48,post late,3.050379572118701,0.497658117
106,BS_40,BS_40_21_AC.pickle,4,post expert,1.4492753623188404,0.495778263
107,BS_40,BS_40_21_AC.pickle,32,post expert,1.3768115942028982,
108,BS_40,BS_40_21_AC.pickle,33,post expert,1.6666666666666667,
109,BS_40,BS_40_21_AC.pickle,37,post expert,4.166666666666667,
110,BS_40,BS_40_21_AC.pickle,42,post expert,2.1014492753623184,0.493600886
111,BS_40,BS_40_21_AC.pickle,49,post expert,5.000000000000001,0.493867721
112,BS_40,BS_40_21_AC.pickle,53,post expert,8.717948717948717,
113,BS_40,BS_40_21_AC.pickle,54,post expert,5.999999999999999,
114,BS_40,BS_40_21_AC.pickle,55,post expert,1.4492753623188404,
115,BS_40,BS_40_22_AC.pickle,1,post expert,0.5656565656565657,0.504782378
116,BS_40,BS_40_22_AC.pickle,7,post expert,5.494949494949493,0.507102664
117,BS_40,BS_40_22_AC.pickle,11,post expert,9.047619047619046,0.490400736
118,BS_40,BS_40_22_AC.pickle,13,post expert,0.9696969696969694,0.494156406
119,BS_40,BS_40_2_AC.pickle,4,pre late,3.8095238095238115,0.494010552
120,BS_40,BS_40_2_AC.pickle,15,pre late,3.010204081632654,0.491807357
121,BS_40,BS_40_2_AC.pickle,18,pre late,3.911564625850337,0.500499422
122,BS_40,BS_40_2_AC.pickle,30,pre late,1.071428571428571,0.507484953
123,BS_40,BS_40_2_AC.pickle,33,pre late,4.0102171136653935,0.502841535
124,BS_40,BS_40_2_AC.pickle,43,pre late,2.389486260454004,0.500939978
125,BS_40,BS_40_2_AC.pickle,45,pre late,1.9853709508881925,0.502631665
126,BS_40,BS_40_2_AC.pickle,46,pre late,5.425170068027217,0.498706091
127,BS_40,BS_40_2_AC.pickle,51,pre late,1.9387755102040793,0.493731117
128,BS_40,BS_40_2_AC.pickle,56,pre late,4.63980463980464,0.499416434
129,BS_40,BS_40_2_AC.pickle,58,pre late,1.9557823129251726,0.503320482
130,BS_40,BS_40_2_AC.pickle,61,pre late,14.625850340136058,0.49733659
131,BS_40,BS_40_2_AC.pickle,65,pre late,3.962585034013606,0.501619401
132,BS_40,BS_40_2_AC.pickle,66,pre late,8.231292517006809,0.502544525
133,BS_40,BS_40_2_AC.pickle,67,pre late,6.484848484848485,0.496018519
134,BS_40,BS_40_2_AC.pickle,70,pre late,2.857142857142856,0.500425414
135,BS_40,BS_40_2_AC.pickle,72,pre late,5.357142857142855,0.504015544
136,BS_40,BS_40_2_AC.pickle,83,pre late,6.445578231292519,0.497617398
137,BS_40,BS_40_2_AC.pickle,96,pre late,27.6360544217687,
138,BS_40,BS_40_2_AC.pickle,97,pre late,3.89455782312926,0.497947414
139,BS_40,BS_40_2_AC.pickle,98,pre late,13.163265306122444,0.498891488
140,BS_40,BS_40_2_AC.pickle,103,pre late,18.82653061224488,0.504007723
141,BS_40,BS_40_2_AC.pickle,115,pre late,10.26365348399247,0.499061602
142,BS_40,BS_40_2_AC.pickle,120,pre late,0.9369369369369368,0.491099966
143,BS_40,BS_40_2_AC.pickle,122,pre late,2.857142857142857,0.501142857
144,BS_40,BS_40_2_AC.pickle,124,pre late,1.7176870748299315,0.494680859
145,BS_40,BS_40_2_AC.pickle,133,pre late,2.9421768707482996,0.502722074
146,BS_40,BS_40_2_AC.pickle,138,pre late,0.8516886930983848,0.497456754
147,BS_40,BS_40_2_AC.pickle,142,pre late,1.7886178861788615,0.497586237
148,BS_40,BS_40_2_AC.pickle,153,pre late,7.579365079365079,0.495475332
149,BS_40,BS_40_2_AC.pickle,154,pre late,6.51360544217687,0.49968386
150,BS_40,BS_40_2_AC.pickle,156,pre late,0.671462829736211,0.500538403
151,BS_40,BS_40_2_AC.pickle,162,pre late,2.959183673469385,0.508227731
152,BS_40,BS_40_2_AC.pickle,163,pre late,1.2074829931972804,0.497722071
153,BS_40,BS_40_2_AC.pickle,164,pre late,4.221105527638188,0.501855302
154,BS_40,BS_40_2_AC.pickle,165,pre late,1.9727891156462543,0.500261433
155,BS_40,BS_40_2_AC.pickle,166,pre late,1.7176870748299329,0.502955684
156,BS_40,BS_40_2_AC.pickle,178,pre late,0.9589041095890413,0.491371429
