,animal,condition,d'
0,OL_189,mCherry,1.685
1,OL_186,mCherry,1.53
2,OL_168,hM4D,1.735
3,OL_172,hM4D,1.02
4,OL_216,hM4D,1.194
5,OL_221,hM4D,1.603
6,OL_222,hM4D,1.893
7,OL_223,hM4D,1.37
8,AE_253,hM4D,1.811
9,AE_255,hM4D,1.621
10,AE_258,hM4D,1.77
11,AE_279,mCherry,1.786
12,AE_280,mCherry,1.711
13,PB_102,Saline,2
14,PB_91,Saline,1.5
15,PB_30,Saline,1.82
