,animal,session,cluster ID,learning phase,FR modulation,Choice modulation
62,BS_40,BS_40_12_AC.pickle,103,pre expert,0.7547169811320753,0.18867924528301888
63,BS_40,BS_40_12_AC.pickle,118,pre expert,2.1383647798742147,2.389937106918239
64,BS_40,BS_40_15_AC.pickle,0,post early,1.2209302325581386,2.6453488372093013
65,BS_40,BS_40_15_AC.pickle,1,post early,0.9684684684684681,0.8333333333333335
66,BS_40,BS_40_15_AC.pickle,3,post early,3.410852713178299,0.8914728682170535
67,BS_40,BS_40_15_AC.pickle,7,post early,2.002442002442002,1.1965811965811963
68,BS_40,BS_40_15_AC.pickle,10,post early,1.6472868217054268,1.5600775193798455
69,BS_40,BS_40_15_AC.pickle,40,post early,8.148148148148147,3.614303959131546
70,BS_40,BS_40_15_AC.pickle,47,post early,17.131782945736436,1.5213178294573637
71,BS_40,BS_40_15_AC.pickle,60,post early,0.9688581314878892,0.3460207612456748
72,BS_40,BS_40_15_AC.pickle,62,post early,5.910364145658262,2.0028011204481797
73,BS_40,BS_40_15_AC.pickle,64,post early,2.2286821705426374,0.8236434108527105
74,BS_40,BS_40_15_AC.pickle,66,post early,1.2640163098878694,1.0499490316004083
75,BS_40,BS_40_15_AC.pickle,68,post early,27.03488372093023,1.1918604651162783
76,BS_40,BS_40_16_AC.pickle,0,post early,2.973621103117507,3.4772182254196635
77,BS_40,BS_40_16_AC.pickle,4,post early,1.3981244671781772,0.5029838022165389
78,BS_40,BS_40_16_AC.pickle,5,post early,0.46035805626598475,1.048593350383632
79,BS_40,BS_40_16_AC.pickle,10,post early,1.9266837169650464,0.4177323103154312
80,BS_40,BS_40_16_AC.pickle,14,post early,3.5913978494623677,4.720430107526881
81,BS_40,BS_40_16_AC.pickle,15,post early,1.359649122807018,1.2609649122807018
82,BS_40,BS_40_16_AC.pickle,16,post early,0.559006211180125,0.8385093167701865
83,BS_40,BS_40_16_AC.pickle,21,post early,27.48508098891727,0.34100596760443347
84,BS_40,BS_40_16_AC.pickle,24,post early,27.096774193548367,3.36405529953917
85,BS_40,BS_40_16_AC.pickle,26,post early,34.12087912087914,2.1978021978021975
86,BS_40,BS_40_16_AC.pickle,35,post early,21.605691056910562,1.5447154471544715
87,BS_40,BS_40_18_AC.pickle,2,post early,0.8088235294117665,0.8088235294117649
88,BS_40,BS_40_18_AC.pickle,4,post early,0.7843137254901957,0.5637254901960785
89,BS_40,BS_40_18_AC.pickle,19,post early,2.7799227799227797,0.6177606177606177
90,BS_40,BS_40_18_AC.pickle,36,post early,1.4338235294117652,0.5514705882352949
91,BS_40,BS_40_18_AC.pickle,41,post early,0.6372549019607854,0.4534313725490197
92,BS_40,BS_40_18_AC.pickle,49,post early,1.4666666666666668,0.42666666666666647
93,BS_40,BS_40_19_AC.pickle,1,post late,0.8281573498964818,0.7039337474120088
94,BS_40,BS_40_19_AC.pickle,3,post late,1.7681159420289831,0.28985507246376835
95,BS_40,BS_40_19_AC.pickle,6,post late,2.056590752242929,0.17943409247757083
96,BS_40,BS_40_19_AC.pickle,8,post late,1.463077984817115,0.1725327812284335
97,BS_40,BS_40_19_AC.pickle,19,post late,1.8771566597653586,0.4692891649413386
98,BS_40,BS_40_19_AC.pickle,22,post late,6.749482401656327,1.366459627329192
99,BS_40,BS_40_19_AC.pickle,31,post late,2.1808143547273975,0.30365769496204276
100,BS_40,BS_40_19_AC.pickle,33,post late,1.78117048346056,0.40712468193384216
101,BS_40,BS_40_19_AC.pickle,34,post late,0.6042296072507553,0.060422960725075484
102,BS_40,BS_40_19_AC.pickle,35,post late,4.483260553129552,0.7278020378457059
103,BS_40,BS_40_19_AC.pickle,46,post late,1.5596963423050387,1.2284334023464452
104,BS_40,BS_40_19_AC.pickle,47,post late,0.5935127674258112,0.28295376121463073
105,BS_40,BS_40_19_AC.pickle,48,post late,3.050379572118701,0.9385783298826771
106,BS_40,BS_40_21_AC.pickle,4,post expert,1.4492753623188404,0.03623188405797096
107,BS_40,BS_40_21_AC.pickle,32,post expert,1.3768115942028982,0.9420289855072462
108,BS_40,BS_40_21_AC.pickle,33,post expert,1.6666666666666667,7.401486830834377e-17
109,BS_40,BS_40_21_AC.pickle,37,post expert,4.166666666666667,0.41666666666666663
110,BS_40,BS_40_21_AC.pickle,42,post expert,2.1014492753623184,2.028985507246377
111,BS_40,BS_40_21_AC.pickle,49,post expert,5.000000000000001,4.021739130434781
112,BS_40,BS_40_21_AC.pickle,53,post expert,8.717948717948717,2.5641025641025643
113,BS_40,BS_40_21_AC.pickle,54,post expert,5.999999999999999,4.0
114,BS_40,BS_40_21_AC.pickle,55,post expert,1.4492753623188404,0.07246376811594209
115,BS_40,BS_40_22_AC.pickle,1,post expert,0.5656565656565657,0.7070707070707068
116,BS_40,BS_40_22_AC.pickle,7,post expert,5.494949494949493,0.6464646464646476
117,BS_40,BS_40_22_AC.pickle,11,post expert,9.047619047619046,6.690476190476189
118,BS_40,BS_40_22_AC.pickle,13,post expert,0.9696969696969694,0.3636363636363641
119,BS_40,BS_40_2_AC.pickle,4,pre late,3.8095238095238115,0.15360983102918585
120,BS_40,BS_40_2_AC.pickle,15,pre late,3.010204081632654,1.147959183673469
121,BS_40,BS_40_2_AC.pickle,18,pre late,3.911564625850337,0.14455782312925197
122,BS_40,BS_40_2_AC.pickle,30,pre late,1.071428571428571,0.20408163265306115
123,BS_40,BS_40_2_AC.pickle,33,pre late,4.0102171136653935,2.0434227330779056
124,BS_40,BS_40_2_AC.pickle,43,pre late,2.389486260454004,3.2138590203106334
125,BS_40,BS_40_2_AC.pickle,45,pre late,1.9853709508881925,1.0240334378265412
126,BS_40,BS_40_2_AC.pickle,46,pre late,5.425170068027217,1.0289115646258498
127,BS_40,BS_40_2_AC.pickle,51,pre late,1.9387755102040793,0.7653061224489793
128,BS_40,BS_40_2_AC.pickle,56,pre late,4.63980463980464,0.5250305250305254
129,BS_40,BS_40_2_AC.pickle,58,pre late,1.9557823129251726,0.5017006802721086
130,BS_40,BS_40_2_AC.pickle,61,pre late,14.625850340136058,0.6972789115646258
131,BS_40,BS_40_2_AC.pickle,65,pre late,3.962585034013606,1.6921768707482991
132,BS_40,BS_40_2_AC.pickle,66,pre late,8.231292517006809,0.5272108843537414
133,BS_40,BS_40_2_AC.pickle,67,pre late,6.484848484848485,2.5303030303030307
134,BS_40,BS_40_2_AC.pickle,70,pre late,2.857142857142856,1.4030612244897955
135,BS_40,BS_40_2_AC.pickle,72,pre late,5.357142857142855,0.15306122448979584
136,BS_40,BS_40_2_AC.pickle,83,pre late,6.445578231292519,2.032312925170068
137,BS_40,BS_40_2_AC.pickle,96,pre late,27.6360544217687,9.447278911564625
138,BS_40,BS_40_2_AC.pickle,97,pre late,3.89455782312926,2.057823129251701
139,BS_40,BS_40_2_AC.pickle,98,pre late,13.163265306122444,0.5612244897959188
140,BS_40,BS_40_2_AC.pickle,103,pre late,18.82653061224488,1.0459183673469385
141,BS_40,BS_40_2_AC.pickle,115,pre late,10.26365348399247,2.8342749529190203
