,animal,session,cluster ID,FR modulation,category
83,BS_40,BS_40_16_AC.pickle,21,27.48508098891727,CR (enhanced)
84,BS_40,BS_40_16_AC.pickle,24,27.096774193548367,CR (enhanced)
85,BS_40,BS_40_16_AC.pickle,26,34.12087912087914,CR (enhanced)
86,BS_40,BS_40_16_AC.pickle,35,21.605691056910562,CR (enhanced)
87,BS_40,BS_40_18_AC.pickle,2,0.8088235294117665,NCR
88,BS_40,BS_40_18_AC.pickle,4,0.7843137254901957,NCR
89,BS_40,BS_40_18_AC.pickle,19,2.7799227799227797,Inconclusive
90,BS_40,BS_40_18_AC.pickle,36,1.4338235294117652,NCR
91,BS_40,BS_40_18_AC.pickle,41,0.6372549019607854,NCR
92,BS_40,BS_40_18_AC.pickle,49,1.4666666666666668,Inconclusive
93,BS_40,BS_40_19_AC.pickle,1,0.8281573498964818,Inconclusive
94,BS_40,BS_40_19_AC.pickle,3,1.7681159420289831,NCR
95,BS_40,BS_40_19_AC.pickle,6,2.056590752242929,Inconclusive
96,BS_40,BS_40_19_AC.pickle,8,1.463077984817115,Inconclusive
97,BS_40,BS_40_19_AC.pickle,19,1.8771566597653586,NCR
98,BS_40,BS_40_19_AC.pickle,22,6.749482401656327,CR (enhanced)
99,BS_40,BS_40_19_AC.pickle,31,2.1808143547273975,Inconclusive
100,BS_40,BS_40_19_AC.pickle,33,1.78117048346056,Inconclusive
101,BS_40,BS_40_19_AC.pickle,34,0.6042296072507553,NCR
102,BS_40,BS_40_19_AC.pickle,35,4.483260553129552,CR (enhanced)
103,BS_40,BS_40_19_AC.pickle,46,1.5596963423050387,Inconclusive
104,BS_40,BS_40_19_AC.pickle,47,0.5935127674258112,NCR
105,BS_40,BS_40_19_AC.pickle,48,3.050379572118701,Inconclusive
106,BS_40,BS_40_21_AC.pickle,4,1.4492753623188404,NCR
107,BS_40,BS_40_21_AC.pickle,32,1.3768115942028982,Inconclusive
108,BS_40,BS_40_21_AC.pickle,33,1.6666666666666667,Inconclusive
109,BS_40,BS_40_21_AC.pickle,37,4.166666666666667,Inconclusive
110,BS_40,BS_40_21_AC.pickle,42,2.1014492753623184,Inconclusive
111,BS_40,BS_40_21_AC.pickle,49,5.000000000000001,Inconclusive
112,BS_40,BS_40_21_AC.pickle,53,8.717948717948717,NCR
113,BS_40,BS_40_21_AC.pickle,54,5.999999999999999,NCR
114,BS_40,BS_40_21_AC.pickle,55,1.4492753623188404,CR (enhanced)
115,BS_40,BS_40_22_AC.pickle,1,0.5656565656565657,NCR
116,BS_40,BS_40_22_AC.pickle,7,5.494949494949493,Inconclusive
117,BS_40,BS_40_22_AC.pickle,11,9.047619047619046,Inconclusive
118,BS_40,BS_40_22_AC.pickle,13,0.9696969696969694,Inconclusive
119,BS_40,BS_40_2_AC.pickle,4,3.8095238095238115,Inconclusive
120,BS_40,BS_40_2_AC.pickle,15,3.010204081632654,Inconclusive
121,BS_40,BS_40_2_AC.pickle,18,3.911564625850337,Inconclusive
122,BS_40,BS_40_2_AC.pickle,30,1.071428571428571,NCR
123,BS_40,BS_40_2_AC.pickle,33,4.0102171136653935,NCR
124,BS_40,BS_40_2_AC.pickle,43,2.389486260454004,Inconclusive
125,BS_40,BS_40_2_AC.pickle,45,1.9853709508881925,Inconclusive
126,BS_40,BS_40_2_AC.pickle,46,5.425170068027217,Inconclusive
127,BS_40,BS_40_2_AC.pickle,51,1.9387755102040793,NCR
128,BS_40,BS_40_2_AC.pickle,56,4.63980463980464,Inconclusive
129,BS_40,BS_40_2_AC.pickle,58,1.9557823129251726,Inconclusive
130,BS_40,BS_40_2_AC.pickle,61,14.625850340136058,CR (enhanced)
131,BS_40,BS_40_2_AC.pickle,65,3.962585034013606,Inconclusive
132,BS_40,BS_40_2_AC.pickle,66,8.231292517006809,Inconclusive
133,BS_40,BS_40_2_AC.pickle,67,6.484848484848485,CR (enhanced)
134,BS_40,BS_40_2_AC.pickle,70,2.857142857142856,CR (enhanced)
135,BS_40,BS_40_2_AC.pickle,72,5.357142857142855,CR (enhanced)
136,BS_40,BS_40_2_AC.pickle,83,6.445578231292519,CR (enhanced)
137,BS_40,BS_40_2_AC.pickle,96,27.6360544217687,CR (enhanced)
138,BS_40,BS_40_2_AC.pickle,97,3.89455782312926,Inconclusive
139,BS_40,BS_40_2_AC.pickle,98,13.163265306122444,CR (enhanced)
