,animal,session,cluster ID,category,depth
103,BS_40,BS_40_19_AC.pickle,46,NCR,1067.5
104,BS_40,BS_40_19_AC.pickle,47,NCR,930.0
105,BS_40,BS_40_19_AC.pickle,48,NCR,967.5
106,BS_40,BS_40_21_AC.pickle,4,NCR,786.0
107,BS_40,BS_40_21_AC.pickle,32,NCR,523.5
108,BS_40,BS_40_21_AC.pickle,33,NCR,536.0
109,BS_40,BS_40_21_AC.pickle,37,CR,398.5
110,BS_40,BS_40_21_AC.pickle,42,NCR,186.0
111,BS_40,BS_40_21_AC.pickle,49,CR,736.0
112,BS_40,BS_40_21_AC.pickle,53,CR,336.0
113,BS_40,BS_40_21_AC.pickle,54,CR,336.0
114,BS_40,BS_40_21_AC.pickle,55,NCR,561.0
115,BS_40,BS_40_22_AC.pickle,1,NCR,1170.0
116,BS_40,BS_40_22_AC.pickle,7,CR,1195.0
117,BS_40,BS_40_22_AC.pickle,11,CR,1220.0
118,BS_40,BS_40_22_AC.pickle,13,NCR,1220.0
119,BS_40,BS_40_2_AC.pickle,4,CR,745.0
120,BS_40,BS_40_2_AC.pickle,15,NCR,295.0
121,BS_40,BS_40_2_AC.pickle,18,CR,332.5
122,BS_40,BS_40_2_AC.pickle,30,NCR,145.0
123,BS_40,BS_40_2_AC.pickle,33,CR,170.0
124,BS_40,BS_40_2_AC.pickle,43,NCR,195.0
125,BS_40,BS_40_2_AC.pickle,45,NCR,195.0
126,BS_40,BS_40_2_AC.pickle,46,CR,420.0
127,BS_40,BS_40_2_AC.pickle,51,NCR,420.0
128,BS_40,BS_40_2_AC.pickle,56,CR,620.0
129,BS_40,BS_40_2_AC.pickle,58,NCR,620.0
130,BS_40,BS_40_2_AC.pickle,61,CR,657.5
131,BS_40,BS_40_2_AC.pickle,65,CR,595.0
132,BS_40,BS_40_2_AC.pickle,66,CR,595.0
133,BS_40,BS_40_2_AC.pickle,67,CR,595.0
134,BS_40,BS_40_2_AC.pickle,70,NCR,570.0
135,BS_40,BS_40_2_AC.pickle,72,CR,682.5
136,BS_40,BS_40_2_AC.pickle,83,CR,732.5
137,BS_40,BS_40_2_AC.pickle,96,CR,482.5
138,BS_40,BS_40_2_AC.pickle,97,CR,482.5
139,BS_40,BS_40_2_AC.pickle,98,CR,457.5
140,BS_40,BS_40_2_AC.pickle,103,CR,157.5
141,BS_40,BS_40_2_AC.pickle,115,CR,407.5
142,BS_40,BS_40_2_AC.pickle,120,NCR,357.5
143,BS_40,BS_40_2_AC.pickle,122,NCR,207.5
144,BS_40,BS_40_2_AC.pickle,124,NCR,332.5
145,BS_40,BS_40_2_AC.pickle,133,NCR,395.0
146,BS_40,BS_40_2_AC.pickle,138,NCR,145.0
147,BS_40,BS_40_2_AC.pickle,142,NCR,195.0
148,BS_40,BS_40_2_AC.pickle,153,CR,545.0
149,BS_40,BS_40_2_AC.pickle,154,CR,545.0
150,BS_40,BS_40_2_AC.pickle,156,NCR,132.5
151,BS_40,BS_40_2_AC.pickle,162,NCR,207.5
