,animal,session,d',learning phase
143,AE_379,10,-0.01540416604984629,post early
144,AE_379,11,0.0024357869621858264,post early
145,AE_379,12,-0.03384240179110509,post early
146,AE_379,13,0.043465734249116705,post early
147,AE_379,14,-0.08798884282035635,post early
148,AE_379,15,0.06392039603005217,post early
149,AE_379,16,0.38931748108324665,post early
150,AE_379,17,2.1110642898726577,post expert
151,AE_379,18,2.103611562644742,post expert
152,AE_379,19,2.064402216512515,post expert
153,AE_379,20,2.246415460076851,post expert
154,AE_379,21,1.7352596084778544,post expert
155,AE_379,22,1.0231277532477276,post expert
156,AE_379,23,1.9206846218656133,post expert
157,AE_379,24,1.2988418237636628,post expert
158,AE_391,1,-0.018922751451282582,pre early
159,AE_391,2,-0.06960300724199203,pre early
160,AE_391,3,0.25438492375848815,pre early
161,AE_391,4,-0.247656160260817,pre early
162,AE_391,5,0.21447665240792096,pre early
163,AE_391,6,1.965228576900556,pre expert
164,AE_391,7,1.5607422846655854,pre expert
165,AE_391,8,-0.4795056533309502,switch
166,AE_391,9,-0.7257158420296647,post early
167,AE_391,10,-0.21865408723369184,post early
168,AE_391,11,-0.13534163819397194,post early
169,AE_391,12,0.4100079056931718,post late
170,AE_391,13,0.6525864958448948,post late
171,AE_391,14,0.5921156059297433,post late
172,AE_391,15,1.7154006036091167,post expert
173,AE_391,16,0.8970225260625583,post expert
174,AE_391,17,1.4690475798183267,post expert
175,AE_391,18,2.068489111493385,post expert
176,AE_391,19,1.5748865847414288,post expert
177,AE_391,20,1.8386542075713999,post expert
178,AE_391,21,2.1849879429869747,post expert
