,animal,session,cluster ID,learning phase,Stimulus decoding,Choice decoding
85,BS_40,BS_40_16_AC.pickle,26,post early,0.542515171,0.6209877999349122
86,BS_40,BS_40_16_AC.pickle,35,post early,0.65558298,0.5326449147653693
87,BS_40,BS_40_18_AC.pickle,2,post early,0.502487939,0.5480546366094076
88,BS_40,BS_40_18_AC.pickle,4,post early,0.458066994,0.5656391636493083
89,BS_40,BS_40_18_AC.pickle,19,post early,0.492869045,0.5248537509933172
90,BS_40,BS_40_18_AC.pickle,36,post early,0.502435644,0.5002548966138977
91,BS_40,BS_40_18_AC.pickle,41,post early,0.476607418,0.5312910902682174
92,BS_40,BS_40_18_AC.pickle,49,post early,0.502686911,0.5828067632850242
93,BS_40,BS_40_19_AC.pickle,1,post late,0.506515666,0.6242514237032003
94,BS_40,BS_40_19_AC.pickle,3,post late,0.49323378,0.581806586270872
95,BS_40,BS_40_19_AC.pickle,6,post late,0.505048458,0.5243015450602695
96,BS_40,BS_40_19_AC.pickle,8,post late,0.498675812,0.5509265494974568
97,BS_40,BS_40_19_AC.pickle,19,post late,0.503636851,0.5616178413908426
98,BS_40,BS_40_19_AC.pickle,22,post late,0.505770049,0.6189981523869531
99,BS_40,BS_40_19_AC.pickle,31,post late,0.500518669,0.5736602106649694
100,BS_40,BS_40_19_AC.pickle,33,post late,0.548687617,
101,BS_40,BS_40_19_AC.pickle,34,post late,0.47202242,
102,BS_40,BS_40_19_AC.pickle,35,post late,0.499235554,
103,BS_40,BS_40_19_AC.pickle,46,post late,0.499602679,0.6169929405936703
104,BS_40,BS_40_19_AC.pickle,47,post late,0.525761932,
105,BS_40,BS_40_19_AC.pickle,48,post late,0.493520536,0.6577180517769032
106,BS_40,BS_40_21_AC.pickle,4,post expert,0.538507831,
107,BS_40,BS_40_21_AC.pickle,32,post expert,,
108,BS_40,BS_40_21_AC.pickle,33,post expert,,
109,BS_40,BS_40_21_AC.pickle,37,post expert,,
110,BS_40,BS_40_21_AC.pickle,42,post expert,0.438463956,
111,BS_40,BS_40_21_AC.pickle,49,post expert,0.493034225,0.5883258771929825
112,BS_40,BS_40_21_AC.pickle,53,post expert,,
113,BS_40,BS_40_21_AC.pickle,54,post expert,,
114,BS_40,BS_40_21_AC.pickle,55,post expert,,
115,BS_40,BS_40_22_AC.pickle,1,post expert,0.512438653,
116,BS_40,BS_40_22_AC.pickle,7,post expert,0.501792887,0.5206589859781122
117,BS_40,BS_40_22_AC.pickle,11,post expert,0.549104478,0.6299082268108817
118,BS_40,BS_40_22_AC.pickle,13,post expert,0.462551038,
119,BS_40,BS_40_2_AC.pickle,4,pre late,0.520170199,
120,BS_40,BS_40_2_AC.pickle,15,pre late,0.556837026,0.6359141556059826
121,BS_40,BS_40_2_AC.pickle,18,pre late,0.525384913,0.5788766826025972
122,BS_40,BS_40_2_AC.pickle,30,pre late,0.543727233,0.4901101121390132
123,BS_40,BS_40_2_AC.pickle,33,pre late,0.546645846,0.4604161970508124
124,BS_40,BS_40_2_AC.pickle,43,pre late,0.551517947,0.4774821353375543
125,BS_40,BS_40_2_AC.pickle,45,pre late,0.52212491,0.5027295382289081
126,BS_40,BS_40_2_AC.pickle,46,pre late,0.54835135,0.4878719831387574
127,BS_40,BS_40_2_AC.pickle,51,pre late,0.509847211,0.5489670917360818
128,BS_40,BS_40_2_AC.pickle,56,pre late,0.528418476,0.60843555828929
129,BS_40,BS_40_2_AC.pickle,58,pre late,0.467663218,0.6303790676512628
130,BS_40,BS_40_2_AC.pickle,61,pre late,0.654878053,0.6265124043226629
131,BS_40,BS_40_2_AC.pickle,65,pre late,0.53128844,0.5268322291676264
132,BS_40,BS_40_2_AC.pickle,66,pre late,0.581267813,
133,BS_40,BS_40_2_AC.pickle,67,pre late,0.562483466,0.495750066613376
134,BS_40,BS_40_2_AC.pickle,70,pre late,0.531241157,0.5153738278211838
135,BS_40,BS_40_2_AC.pickle,72,pre late,0.500233648,0.6121047510703511
136,BS_40,BS_40_2_AC.pickle,83,pre late,0.523212057,0.5165946070194202
137,BS_40,BS_40_2_AC.pickle,96,pre late,,0.6661527089412788
138,BS_40,BS_40_2_AC.pickle,97,pre late,0.551294166,0.4582079560817239
139,BS_40,BS_40_2_AC.pickle,98,pre late,0.526970573,0.585793092338269
140,BS_40,BS_40_2_AC.pickle,103,pre late,0.641649624,0.6261711024899975
141,BS_40,BS_40_2_AC.pickle,115,pre late,0.619029525,0.5943748646328428
142,BS_40,BS_40_2_AC.pickle,120,pre late,0.529935656,0.4436106983238432
143,BS_40,BS_40_2_AC.pickle,122,pre late,0.607285714,
144,BS_40,BS_40_2_AC.pickle,124,pre late,0.544302993,0.5074232603164621
145,BS_40,BS_40_2_AC.pickle,133,pre late,0.4963884,0.5053578496975378
146,BS_40,BS_40_2_AC.pickle,138,pre late,0.542481472,
147,BS_40,BS_40_2_AC.pickle,142,pre late,0.529191855,
148,BS_40,BS_40_2_AC.pickle,153,pre late,0.616369217,
149,BS_40,BS_40_2_AC.pickle,154,pre late,0.499561985,0.5379228834487303
150,BS_40,BS_40_2_AC.pickle,156,pre late,0.442579149,
151,BS_40,BS_40_2_AC.pickle,162,pre late,0.52515254,0.4413484725340533
152,BS_40,BS_40_2_AC.pickle,163,pre late,0.460706309,0.5572302717253065
153,BS_40,BS_40_2_AC.pickle,164,pre late,0.512127536,0.4659526103862598
154,BS_40,BS_40_2_AC.pickle,165,pre late,0.533040464,0.4897800243411825
155,BS_40,BS_40_2_AC.pickle,166,pre late,0.59733839,
156,BS_40,BS_40_2_AC.pickle,178,pre late,0.525219048,
157,BS_40,BS_40_2_AC.pickle,184,pre late,0.510170655,
