,n_rep,categories,session,clust,accuracy,accuracy_std,accuracy_sem,weighted_accuracy,weighted_accuracy_std,weighted_accuracy_sem,shuffled_control_accuracy,shuffled_control_accuracy_std,shuffled_control_accuracy_sem,synthetic_control_accuracy,synthetic_control_accuracy_std,synthetic_control_accuracy_sem,pval_shuffled_control,pval_synthetic_control,fraction_empty_trials
0,500,stimulus_on,BS_100_1_opto_AC.pickle,13,,,,,,,,,,,,,,,
1,500,stimulus_on,BS_100_1_opto_AC.pickle,36,0.5428717948717948,0.13043299155503585,0.005838982617546324,0.5415761460761461,0.13045702821064262,0.005840058646031131,0.5023076923076922,0.13079097355693575,0.005855008092861793,0.4952051282051282,0.14101988566344545,0.006312917087160355,2.737769987641718e-06,3.144475688976249e-08,0.7131794871794872
2,500,stimulus_on,BS_100_1_opto_AC.pickle,47,0.635,0.20330464278460977,0.009101165749042186,0.6334920634920637,0.20304384433192857,0.009089490806884273,0.49713333333333337,0.22003687569738548,0.009850203365719176,0.5164,0.2127647004974692,0.00952465609368451,8.474418872440385e-22,1.3176374402949926e-17,0.8838
3,500,stimulus_on,BS_100_1_opto_AC.pickle,54,0.44171428571428567,0.16295057191949003,0.007294669436111691,0.4619142857142857,0.16730673833972604,0.007489678227243838,0.5025238095238095,0.19003336024113016,0.008507061549176263,0.4875238095238095,0.1956114664455759,0.008756771877662004,1.409301698601594e-07,0.00039035782861734014,0.6974761904761904
4,500,stimulus_on,BS_103_1_opto_AC.pickle,41,0.5952982456140351,0.11278083422816476,0.005048763528303838,0.593149137713435,0.11300631110404386,0.005058857259523375,0.5101286549707603,0.11882591624788212,0.005319378565296821,0.5023391812865496,0.11471561821215451,0.005135376354679566,6.345189843744796e-28,7.4853443058807905e-34,0.8937192982456139
5,500,stimulus_on,BS_103_1_opto_AC.pickle,57,0.45156725146198823,0.10240907821900104,0.004584459962703372,0.45224663032150825,0.10290123156163886,0.00460649177212957,0.4923508771929825,0.10929918991829222,0.004892903723484082,0.5029473684210526,0.11736012872917187,0.0052537609041458525,2.095086769706193e-09,2.473640971996949e-14,0.6650584795321638
6,500,stimulus_on,BS_103_1_opto_AC.pickle,59,,,,,,,,,,,,,,,
7,500,stimulus_on,BS_103_1_opto_AC.pickle,60,0.68175,0.15095604763084694,0.0067577207853742535,0.6792676282051282,0.15153321410972542,0.006783558305448152,0.49417857142857147,0.16037635503746195,0.007179431661920074,0.5090714285714285,0.17495438180933257,0.007832033767447654,2.295542419642088e-62,8.70735803601574e-51,0.4670357142857143
8,500,stimulus_on,BS_103_1_opto_AC.pickle,61,0.5942397660818712,0.10199931451780037,0.00456611642016795,0.590103420062183,0.10231677339058057,0.004580327831083626,0.5056783625730994,0.11308385068612817,0.005062328407938852,0.4992982456140351,0.10747284351225518,0.004811145229782978,1.0641332921948182e-32,5.2599011704663527e-39,0.8299999999999998
9,500,stimulus_on,BS_103_1_opto_AC.pickle,72,0.5712573099415206,0.10560669655813544,0.0047276050188518005,0.5687580502935903,0.10563711701825407,0.00472896682567485,0.488485380116959,0.11119380410068104,0.0049777183025720515,0.4950409356725146,0.11702365117285392,0.005238698100026191,2.648487166996827e-29,5.8853222671408915e-24,0.8830877192982457
10,500,stimulus_on,BS_103_1_opto_AC.pickle,77,0.5132690058479532,0.10305001901537483,0.004613152413319471,0.5177031860645533,0.10319012527936518,0.004619424431083502,0.5040877192982456,0.09793128828484338,0.00438400655533413,0.5157368421052632,0.11670792027377051,0.0052245640438369455,0.07558991489040348,0.9392558604487646,0.5425497076023391
11,500,stimulus_on,BS_103_1_opto_AC.pickle,82,0.5878888888888889,0.0976462255791661,0.004371245396032973,0.5944975934417063,0.09707093691686301,0.004345491938574,0.4981988304093568,0.10325026960310126,0.004622116860787462,0.4962690058479532,0.11764244156766193,0.005266398962485242,7.034273366070695e-41,3.141472381561519e-34,0.5747251461988304
12,500,stimulus_on,BS_103_1_opto_AC.pickle,86,0.5796842105263158,0.09681782827043293,0.004334161239421614,0.5867540460985929,0.09618680454832723,0.004305912738020954,0.5080584795321637,0.0958736422335534,0.004291893667457327,0.4957894736842105,0.11729755113473514,0.0052509595462853316,8.359072521313667e-29,1.3393594281482639e-31,0.43077192982456136
13,500,stimulus_on,BS_103_1_opto_AC.pickle,96,0.55746783625731,0.11211924475130557,0.005019146715798986,0.5560123319135798,0.1121551167078196,0.005020752565117059,0.5043157894736843,0.11017322789900391,0.004932031037176779,0.502,0.11074409004413353,0.004957586336512382,3.6200287805920897e-13,4.739794132667448e-14,0.80853216374269
14,500,stimulus_on,BS_103_1_opto_AC.pickle,130,0.5377602339181287,0.10668943582648072,0.004776075085296112,0.540072741992438,0.10675208268827356,0.004778879543989356,0.5089473684210526,0.10753861258104057,0.00481408945765686,0.49337426900584797,0.11229178962674903,0.005026870885247603,7.152000706623873e-05,5.916006956016639e-09,0.9787251461988303
15,500,stimulus_on,BS_103_1_opto_AC.pickle,134,0.608124183006536,0.10822681816927504,0.004844897770945478,0.6043316365007542,0.10892951125427845,0.004876354633660106,0.49201960784313725,0.11770907207286509,0.005269381753549383,0.5028496732026144,0.11684803170964214,0.0052308362931261804,9.848222348783799e-49,1.0519225228534196e-40,0.903326797385621
16,500,stimulus_on,BS_103_1_opto_AC.pickle,162,0.6877134502923976,0.09659514145948997,0.004324192408662226,0.685160674618081,0.09690276213464863,0.004337963401366103,0.5060526315789474,0.10985349764218778,0.0049177179451469506,0.5027602339181286,0.12243318428461006,0.00548086206047831,1.1019215072937045e-100,1.1803281796214466e-96,0.8192865497076023
