,n_rep,categories,session,clust,accuracy,accuracy_std,accuracy_sem,weighted_accuracy,weighted_accuracy_std,weighted_accuracy_sem,shuffled_control_accuracy,shuffled_control_accuracy_std,shuffled_control_accuracy_sem,synthetic_control_accuracy,synthetic_control_accuracy_std,synthetic_control_accuracy_sem,pval_shuffled_control,pval_synthetic_control,fraction_empty_trials
0,500,stimulus_off,BS_100_1_opto_AC.pickle,13,0.5020522875816994,0.08096385383459716,0.0036244398717965457,0.5172553004840984,0.08108404673695264,0.0036298204450643913,0.5062222222222222,0.09598249979326515,0.0042967668010975785,0.49746405228758167,0.11986480059480642,0.00536588541583373,0.5178324013923383,0.34625932095315526,0.3370457516339869
1,500,stimulus_off,BS_100_1_opto_AC.pickle,36,0.5498,0.06803732799089948,0.0030457691014127626,0.5365240873084692,0.06849834754121996,0.0030664071708810573,0.4955680672268908,0.07928568054756957,0.0035493145178859898,0.5024705882352941,0.08416121572510835,0.003767573447727927,1.6662731343805004e-28,1.8381775916249143e-20,0.6704773109243697
2,500,stimulus_off,BS_100_1_opto_AC.pickle,47,0.49405413105413104,0.08491576805795759,0.0038013518492121612,0.49232873804436306,0.08438299761507163,0.0037775017686607166,0.5055299145299146,0.08899465997726105,0.003983948128970214,0.5045042735042735,0.09802279628727041,0.004388103016123443,0.02962878025999389,0.09581723775189153,0.6828660968660968
3,500,stimulus_off,BS_100_1_opto_AC.pickle,54,0.6001428571428571,0.18441481266224713,0.008255540816132948,0.5905211213517664,0.18560449123272546,0.008308798143214642,0.5056190476190476,0.18126586880255136,0.008114574728939934,0.5068095238095237,0.20117597017302216,0.009005873275647813,3.9525881043415095e-15,3.860801747158568e-13,0.6431904761904762
4,500,stimulus_off,BS_103_1_opto_AC.pickle,41,0.5676914634146342,0.06700508130420398,0.002999559393356717,0.561478085288625,0.06704093028319631,0.0030011642140596504,0.5055670731707317,0.07806694981920939,0.0034947566376018276,0.49579024390243903,0.07874328669344542,0.0035250336342817945,8.057362049898661e-36,7.125188144048436e-44,0.8777621951219512
5,500,stimulus_off,BS_103_1_opto_AC.pickle,57,0.47572439024390245,0.06735537267683593,0.0030152405888233674,0.47342843325680667,0.06677440702305244,0.0029892329943229995,0.5104719512195122,0.07107493397004266,0.003181751020555421,0.5028170731707318,0.07801116566919143,0.0034922593960802924,6.625665596861218e-14,4.044911959648352e-07,0.7188475609756096
6,500,stimulus_off,BS_103_1_opto_AC.pickle,59,0.5127667140825035,0.04304398567074695,0.0019269134375052282,0.48551247907899575,0.04227097137268368,0.001892308564951939,0.5252972972972972,0.043666703858217804,0.0019547901321123437,0.4992660028449502,0.07974537724770085,0.0035698933684467954,3.0280980269477453e-05,0.002275241964197989,0.1496614509246088
7,500,stimulus_off,BS_103_1_opto_AC.pickle,60,0.6523478260869566,0.09234381388156337,0.00413387684867191,0.6471462235478718,0.09340224900302506,0.004181258912077299,0.5006482213438735,0.0989415862282065,0.004429233702695471,0.5052134387351779,0.10386421792854322,0.004649600962452144,8.583570059914776e-92,9.189381839490143e-85,0.6916324110671936
8,500,stimulus_off,BS_103_1_opto_AC.pickle,61,0.641809756097561,0.06739965268923413,0.0030172228344164144,0.6313705386646914,0.06818404283843411,0.0030523369600064924,0.5052317073170732,0.07741598370502091,0.0034656153921236517,0.49525,0.07827441161885036,0.0035040439032503925,1.4364882237697365e-109,1.497271523312167e-116,0.7946170731707317
9,500,stimulus_off,BS_103_1_opto_AC.pickle,72,0.5754463414634147,0.06377328276236933,0.002854884221191999,0.5658797261801958,0.06420095886835835,0.0028740296330930677,0.5045329268292684,0.07822280913408874,0.0035017338587750415,0.5031292682926829,0.08005044368153712,0.0035835500176053425,2.879956178534201e-45,7.589021516647836e-46,0.8802085365853659
