,n_rep,categories,session,clust,accuracy,accuracy_std,accuracy_sem,weighted_accuracy,weighted_accuracy_std,weighted_accuracy_sem,synthetic_control_accuracy,synthetic_control_accuracy_std,synthetic_control_accuracy_sem,synthetic_control_weighted_accuracy,synthetic_control_weighted_accuracy_std,synthetic_control_weighted_accuracy_sem,pval_synthetic_control,pval_weighted_synthetic_control,fraction_empty_trials
0,500,stimulus,AE_229_1_passive_AC.pickle,0,0.6679197860962567,0.07035355691663198,0.00314945774854391,0.6764438561662306,0.06951887383260599,0.0031120922019848463,0.49737433155080213,0.08035265818461303,0.0035970789968090893,0.4961516088354127,0.07897093319252341,0.003535224491174782,3.694272669783379e-130,1.5527245179330583e-136,0.4493458110516934
1,500,stimulus,AE_229_1_passive_AC.pickle,6,0.46595641025641027,0.0673542218170561,0.0030151890692640174,0.47152814258436593,0.06704866936940389,0.0030015106631390053,0.4966935897435898,0.07446453889333483,0.003333490576564157,0.49711030265243017,0.07400067695108242,0.003312725264157669,1.917133571536375e-10,1.070878889391481e-07,0.12059102564102564
2,500,stimulus,AE_229_1_passive_AC.pickle,7,0.5154184615384615,0.08250879122606149,0.0036936007678736033,0.5346160678848612,0.08311258286873041,0.0037206301939730273,0.49401538461538463,0.09385419763761865,0.004201490911588729,0.49363414706749204,0.09316864605511341,0.0041708014079136525,0.0006205924366510005,1.9198705308243935e-11,0.24708615384615387
3,500,stimulus,AE_229_1_passive_AC.pickle,9,0.688752564102564,0.0710750773407997,0.0031817574387119634,0.6961464005793259,0.06992917085944658,0.003130459619454853,0.5016448717948718,0.08221611459248775,0.0036804987623485826,0.5010697786610552,0.08256052255125224,0.0036959165800386877,3.719260798990095e-139,3.7331526301490297e-143,0.0025153846153846155
4,500,stimulus,AE_229_1_passive_AC.pickle,10,0.5203174603174603,0.07979625731057827,0.0035721710728770853,0.524410244842556,0.08003140754407137,0.00358269784305623,0.5003507936507937,0.08231986386894945,0.0036851432178243073,0.4996354153557875,0.08252174700007907,0.0036941807479720715,6.848867841297937e-05,9.349217057698124e-07,0.0
5,500,stimulus,AE_229_1_passive_AC.pickle,14,0.4736448717948718,0.0771787764150763,0.003454996535450741,0.478669431779804,0.07804517996681491,0.0034937820851653435,0.4997371794871795,0.07401836751411306,0.0033135172025223337,0.49982869755539955,0.07384827665404979,0.003305902889889676,4.8203693165519506e-08,1.0213965860569421e-05,0.09297307692307692
6,500,stimulus,AE_229_1_passive_AC.pickle,24,0.5357153846153846,0.06559568541278592,0.002936466168144913,0.5200752402384847,0.06471492314704232,0.002897037834112586,0.5027974358974359,0.08163570515616625,0.003654516067561497,0.5025419873093808,0.08187283639318935,0.0036651315196380586,2.0097209406880536e-12,0.00010659892442567827,0.1708333333333333
7,500,stimulus,AE_229_1_passive_AC.pickle,25,0.6833576923076922,0.07046735292836745,0.003154551957658858,0.6867865428779255,0.07030108621028461,0.0031471088371324645,0.5017153846153846,0.0769256170093438,0.003443663563999905,0.5011785377211441,0.07711445359226314,0.0034521170504382467,1.8376023640106433e-140,3.796665501712719e-142,0.09547435897435896
8,500,stimulus,AE_229_1_passive_AC.pickle,26,0.5012820512820513,0.07110049975273561,0.0031828955021698372,0.5060163449198555,0.0713461916099785,0.003193894180239017,0.5068089743589743,0.07681963963207482,0.0034389193650334526,0.50663583859403,0.07685795597026775,0.003440634639903784,0.3091970535246197,0.9763284826118712,0.16583205128205128
9,500,stimulus,AE_229_1_passive_AC.pickle,27,0.5029320512820512,0.07258714786499211,0.003249447011741025,0.49264253474657727,0.07253320093981415,0.0032470320156987764,0.4992705128205129,0.07432322017290748,0.0033271642817956962,0.499610675382537,0.07379197552915528,0.00330338250539425,0.3209903820268556,0.1969244719407166,0.47231410256410256
